id,value
id_0,6.235817361202926
id_1,17.62179465221056
id_2,23.456909301101422
id_3,7.777617617857736
id_4,26.5662157812664
id_5,21.912653305125758
id_6,24.249860890594324
id_7,30.372408548808597
id_8,16.68079958629778
id_9,58.90710495444276
id_10,11.790610418265993
id_11,9.261501423478899
id_12,62.95720115306444
id_13,52.72711865770801
id_14,22.055225285328152
id_15,12.116031266233007
id_16,32.529900996895094
id_17,66.79843577829183
id_18,-0.27508413803534193
id_19,17.042563934724413
id_20,41.784805919422965
id_21,71.8083443879623
id_22,8.748845637344878
id_23,18.20774455597706
id_24,14.270547270105368
id_25,37.651029176547915
id_26,14.322271992639719
id_27,71.7274463876087
id_28,7.359774333437612
id_29,55.58370206280379
id_30,24.196194952944065
id_31,8.476197201100142
id_32,2.665110387450898
id_33,18.10737866112373
id_34,27.92690431161226
id_35,37.40017501306712
id_36,43.12755379987057
id_37,30.562741509889833
id_38,42.39134228576592
id_39,35.27507525153243
id_40,7.4766667459195
id_41,41.03479167488721
id_42,30.819346278912988
id_43,50.61815935743988
id_44,17.18210941266825
id_45,35.65352844813432
id_46,24.36652347907187
id_47,9.802137505876546
id_48,26.026097794869695
id_49,32.45417804473091
id_50,20.14377656868889
id_51,8.080026714396931
id_52,21.294109217636965
id_53,52.5890584368251
id_54,15.76240699226034
id_55,35.87504858743818
id_56,32.4896232906123
id_57,21.089044739417023
id_58,57.383578518665956
id_59,22.93497653645232
id_60,14.49772711009725
id_61,42.25331762811575
id_62,12.806244384566762
id_63,49.47213686618326
id_64,13.780184469689248
id_65,15.694272600411294
id_66,14.693497623324294
id_67,-0.967225655874872
id_68,43.05857305663887
id_69,29.294182203337268
id_70,20.437130620091622
id_71,41.59857652732519
id_72,60.75972881264787
id_73,5.050868322381746
id_74,16.882787129389122
id_75,3.858648533793765
id_76,39.82386319681194
id_77,13.642652916668428
id_78,22.14133396043053
id_79,20.934826613462725
id_80,23.77362309515511
id_81,36.340239669222356
id_82,22.166569347232947
id_83,92.67881575976843
id_84,36.63609772470246
id_85,27.848519659428067
id_86,21.4969788544523
id_87,32.998332892687934
id_88,23.2260635330515
id_89,20.44099100842263
id_90,29.330775708847504
id_91,41.14393523498496
id_92,4.822132995699391
id_93,38.83537438178266
id_94,46.248332028819235
id_95,16.41237146959865
id_96,31.81541191628446
id_97,12.678565739669718
id_98,23.55985897900803
id_99,4.588589085611755
id_100,18.781275615668505
id_101,26.75725866258603
id_102,14.381471663721316
id_103,15.951138543395997
id_104,23.568319223377067
id_105,39.57672137415422
id_106,31.118673796876926
id_107,6.975843400454959
id_108,5.891401582304674
id_109,78.59868666312994
id_110,47.780214431332986
id_111,16.664215347356638
id_112,27.734277020931295
id_113,14.78309433783977
id_114,13.660778808957424
id_115,25.102424682204262
id_116,26.467561284718386
id_117,10.75212765162414
id_118,18.240864556106303
id_119,19.261402209691443
id_120,80.76987884555719
id_121,25.211839571039793
id_122,36.62884950423653
id_123,24.822277560843958
id_124,7.392527041730174
id_125,38.755385057655076
id_126,8.995266782920227
id_127,22.346622865873588
id_128,29.474367030818694
id_129,62.6344774354144
id_130,22.07865208971174
id_131,23.24042706449308
id_132,58.600093720854915
id_133,15.00737463785317
id_134,13.861660617247702
id_135,2.5503972283430083
id_136,12.588206466482214
id_137,58.22225976432223
id_138,20.17713121607507
id_139,5.228274175502586
id_140,28.7603690261556
id_141,25.28515068906263
id_142,44.81076809148232
id_143,30.105546342852968
id_144,18.015589144569763
id_145,25.775595393110336
id_146,11.576661409131646
id_147,51.64142776206385
id_148,23.586091179559794
id_149,38.72346160316607
id_150,10.298439341800796
id_151,7.883996895788416
id_152,24.22762545671328
id_153,6.7837186128778235
id_154,15.30958863273783
id_155,41.033541812041
id_156,8.35175472223027
id_157,36.473856520683164
id_158,11.03681246362224
id_159,18.38669304549876
id_160,41.03378848215159
id_161,18.972444110185368
id_162,13.52776711149918
id_163,7.587255771487534
id_164,52.44725233187978
id_165,30.979096987546058
id_166,-0.5242498428848199
id_167,16.39070505231718
id_168,63.523921405963385
id_169,14.078686910717755
id_170,63.58436563341177
id_171,38.900740556534245
id_172,26.741416774243326
id_173,20.144879937697322
id_174,61.4118062970071
id_175,25.05295213235339
